First name,Last name,Preferred title,Overview,Position,Department,Individual
Kayla,Cline,Clinical Assistant Professor,,Clinical Assistant Professor,Accounting,https://scholars.library.tamu.edu/vivo/display/n004b46f3
Katherine,Crabill,Assistant Lecturer - Term Appointment,,Assistant Lecturer - Term Appointment,Oceanography,https://scholars.library.tamu.edu/vivo/display/n01098857
Linda,Cherrington,TTI Research Scientist,,TTI Research Scientist,Texas A&M Transportation Institute (TTI),https://scholars.library.tamu.edu/vivo/display/n010f0852
Karuppiah,,Research Assistant Professor,,Research Assistant Professor,Microbial Pathogenesis and Immunology,https://scholars.library.tamu.edu/vivo/display/n015218cf
Bruce,Carpenter,Professor and Extension Specialist,"Dr. Carpenter's Extension activities include district responsibilities in a 23 county area in the Far West Texas district where he interacts with County Extension Agents, livestock producers, and allied industry to conduct educational programs and applied research targeting range livestock (cattle, sheep, goats), horses, and ranch and natural resource management and planning. At the regional and state levels, he is active in Integrated Toxic Plant Management, the Southwest Beef Symposium, and cattle pregnancy determination and artificial insemination clinics.",Professor and Extension Specialist,Animal Science,https://scholars.library.tamu.edu/vivo/display/n018fa571
Tosha,Cantrell-Bruce,Lecturer,,Lecturer,Bush School of Government and Public Service,https://scholars.library.tamu.edu/vivo/display/n02809afd
Raymond,Carroll,Distinguished Professor,,Distinguished Professor,Statistics,https://scholars.library.tamu.edu/vivo/display/n032647a0
Reinaldo,Cooke,Associate Professor,,Associate Professor,Animal Science,https://scholars.library.tamu.edu/vivo/display/n04506e3d
W. Timothy,Coombs,Professor,,Professor,Department of Communication & Journalism,https://scholars.library.tamu.edu/vivo/display/n05e245dc
Norman,Clark,Instructional Associate Professor,,Instructional Associate Professor,Engineering Technology and Industrial Distribution,https://scholars.library.tamu.edu/vivo/display/n0641132c
Carolyn,Cuevas,Adjunct Assistant Professor,,Adjunct Assistant Professor,Health Policy and Management,https://scholars.library.tamu.edu/vivo/display/n0855ca6b
Travis,Carrell,Instructional Assistant Professor,,Instructional Assistant Professor,Biomedical Engineering,https://scholars.library.tamu.edu/vivo/display/n08cf4d27
Gayle,Curtis,Postdoctoral Research Associate,"Gayle A. Curtis' research centers on the lived experiences of teachers and teacher educators, emphasizing teacher learning, teacher collaboration, reflection on practice, cultural encounters, and identity. Primary research genres include narrative inquiry, self-study (of teaching and teaching practice), and ethnography.",Postdoctoral Research Associate,"Teaching, Learning and Culture",https://scholars.library.tamu.edu/vivo/display/n095adb45
Albert,Cannella,Professor,"My research is focused on executives, corporate governance, and entrepreneurship.  I also have research interest in competitive dynamics, multimarket contact, corporate governance, boards of directors, and CEO succession.",Professor,Management,https://scholars.library.tamu.edu/vivo/display/n0a5a85db
David,Chroust,Associate Professor,,Associate Professor,University Libraries,https://scholars.library.tamu.edu/vivo/display/n0ad8eae0
Linda,Cheng,Clinical Associate Professor,,Clinical Associate Professor,Department of Comprehensive Dentistry||Comprehensive Dentistry,https://scholars.library.tamu.edu/vivo/display/n0b00f608
Carolyn,Cannon,Associate Professor,"Our goal is to develop novel, non-toxic antimicrobial formualtions with efficacy against gram-positive and gram-negative multi-drug resistant pathogens.",Associate Professor,Microbial Pathogenesis and Immunology,https://scholars.library.tamu.edu/vivo/display/n0b3870aa
Bridgette,Chambers,Executive Professor,,Executive Professor,Management,https://scholars.library.tamu.edu/vivo/display/n0b6576e7
Guy,Curry,Senior Professor,Dr. Curry specializes in the application of operations research techniques to the design and analysis of manufacturing systems. Current research emphasizes the development of analytical and simulation tools for the evaluation of semiconductor manufacturing and packaging systems. He teaches courses in optimization and production systems.,Senior Professor,Industrial and Systems Engineering,https://scholars.library.tamu.edu/vivo/display/n0bcb050f
Kevin,Curley,Instructional Assistant Professor,,Instructional Assistant Professor,Veterinary Integrative Biosciences,https://scholars.library.tamu.edu/vivo/display/n0be3ea86
John,Crompton,Distinguished Professor,,Distinguished Professor,"Recreation, Park and Tourism Sciences",https://scholars.library.tamu.edu/vivo/display/n0cd50a6b
Todd,Carlson,TTI Assistant Research Scientist,,TTI Assistant Research Scientist,Texas A&M Transportation Institute (TTI),https://scholars.library.tamu.edu/vivo/display/n0f1417cc
Wei-Jung,Chen,Professor and Associate Dean,"My research focuses on the effects of substance abuse (alcohol, cocaine, nicotine, etc.) on the developing brain; Polydrug interactions on brain and cognitive developments; Fetal alcohol syndrome; Use of 3-dimensional stereological cell counting techniques, immunohistochemistry, radioimmunoassay, high-performance liquid chromatograph, gas chromatograph and behavioral assessments in animal models such as rodent, ovine and zebrafish.",Associate Dean for Faculty Affairs and Curriculum Management||Professor,Neuroscience and Experimental Therapeutics||School of Medicine,https://scholars.library.tamu.edu/vivo/display/n10791258
Michael,Criscitiello,Professor and Associate Dean for Research and Graduate Studies,"My Comparative Immunogenetics Laboratory studies immunology, molecular genetics and evolution. Most of our group's research focuses on the natural history and future application of the vertebrate adaptive immune system, with particular attention given to the genetics of lymphocyte antigen receptors. Particular expertise lies in the evolution of vertebrate immunoglobulin loci, T cell receptor loci and the major histocompatibility complex. Additionally, we are interested in the evolution of diversification mechanisms at work there (e.g., recombination activating genes (RAG), activation-induced cytidine deaminase (AID), and the high allelic polymorphism maintained by classical MHC genes). Most recently, we have been working on lymphocyte development in shark thymus that suggests plasticity across the B lymphocyte/T lymphocyte divide, immunoglobulin heavy and light chain isotype pairing in an amphibian system, immunogenetics in marine mammals of conservation importance, mucosal humoral immunity in diverse tetrapods and cattle antibodies with an unheralded domain extending for novel antigen binding possibilities.",Associate Dean for Research and Graduate Studies||Professor,School of Veterinary Medicine and Biomedical Sciences||Veterinary Pathobiology,https://scholars.library.tamu.edu/vivo/display/n11e21ca8
Cody,Cofer,Adjunct Professor,,Adjunct Professor,School of Law,https://scholars.library.tamu.edu/vivo/display/n1220003d
James,Coonrod,Lecturer,,Lecturer,Maritime Transportation,https://scholars.library.tamu.edu/vivo/display/n125b6cfa
August,Campbell,Instructional Associate Professor,,Instructional Associate Professor,Kinesiology and Sport Management,https://scholars.library.tamu.edu/vivo/display/n13e597c3
Daniel,Conway,Professor,"Areas of Specialization: 19th Century European Philosophy, Social and Political Philosophy, Ethics, Philosophy of Religion <br /><br />Areas of Competence: 20th Century European Philosophy, Aesthetics, Philosophy and Film, Philosophy and Literature, American Philosophy, Philosophy for Children",Professor,Philosophy and Humanities,https://scholars.library.tamu.edu/vivo/display/n13ed24a6
Jorge,Cruz-Reyes,Professor,"We combine approaches in molecular genetics, structural biology, biochemistry, proteomics, and bioinformatics to study the amazing RNA biology of trypanosome parasites.  One research line is on an RNA editing process by uridine insertion and deletion that creates amino acid coding triplets in most mRNAs. Yet a single error in the U-changes yields a frame-shift. Trypanosomes split from other eukaryotic lineages over a hundred million years ago, yet this editing has analogies with RNAi, CRISPR/Cas9, mRNA splicing and other systems directed by small non-coding RNAs (ncRNAs).",Professor||Professor,Texas A&M AgriLife Research||Biochemistry and Biophysics,https://scholars.library.tamu.edu/vivo/display/n147e77ee
Domenico,Cipicchio,Adjunct Professor,,Adjunct Professor,School of Law,https://scholars.library.tamu.edu/vivo/display/n149f5b6e
Joydeep,Chakraborty,Postdoctoral Researcher,"Currently, working as a post doc and investigating causes of peripheral neuropathy on mice models of one carbon metabolism and diabetes Also, my research focusses on the fate of uracil<br /><br />accumulation in DNA. Previously I have received in depth training on directed evolution, protein purification, high throughput assay design and chemoenzymatic synthesis.",Postdoctoral Researcher,Nutrition,https://scholars.library.tamu.edu/vivo/display/n14b2580b
Dikaia,Chatziefstathiou,Instructional Assistant Professor,,Instructional Assistant Professor,Kinesiology and Sport Management,https://scholars.library.tamu.edu/vivo/display/n167661bb
William,Coady,Instructional Associate Professor,,Instructional Associate Professor,Kinesiology and Sport Management,https://scholars.library.tamu.edu/vivo/display/n1901eb37
