ASSAY_ID	ASSAY	PROJECT	PLATE	WELL	WELL_TYPE	RAW_VALUE_A	BSUB_VALUE_A	Z_SCORE_A	RAW_VALUE_B	BSUB_VALUE_B	Z_SCORE_B	RAW_VALUE_C	BSUB_VALUE_C	Z_SCORE_C	COMPOSITE_Z	REPRODUCIBILITY	CHEMBANK_ID	VIRTUAL_ID	SMILES
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	A01	positive control	1559.5	-87.9	-0.14	1995.0	513.0	0.92	1980.5	579.796875	0.7808829428731	0.9048	0.744			
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	A02	positive control	1856.0	209.0	0.32	2369.0	887.0	1.59	1723.0	322.296875	0.434076386197845	1.3577	0.8062			
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	A03	compound treatment	1436.0	-211.0	-0.33	1709.0	227.0	0.41	1353.0	-47.703125	-0.0642475981510651	0.0096	0.0183	2060025	SpecPlus_000001	CC(=O)O[C@H]1C[C@@]2(C)[C@@H](OC(=O)[C@H]3O[C@]32[C@]4(C)[C@@H](CC5C(C)(C)[C@@H](C[C@H](OC(=O)C)[C@]5(C)C14)OC(=O)C)OC(=O)C)c6ccoc6
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	A04	compound treatment	1486.0	-161.0	-0.25	1581.0	98.9	0.18	1209.0	-191.703125	-0.258189905573344	-0.1906	-0.4755	2060026	SpecPlus_000002	COC(=O)C[C@H]1C(C)(C)[C@@H](OC(=O)C)[C@@H]2CC3C(CC[C@@]4(C)[C@@H](OC(=O)CC34)c5ccoc5)[C@@]1(C)C2=O
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	A05	compound treatment	870.5	-777.0	-1.2	482.0	-1000.0	-1.8	733.5	-667.203125	-0.898603566540659	-2.2511	-0.961	3054122	SpecPlus_000003	CC(=O)O[C@@H]1C[C@@]2(C)[C@@H](C[C@H]3O[C@]32[C@@]4(C)C1[C@@]5(C)C=CC(=O)C(C)(C)C5=C(O)C4=O)c6ccoc6
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	A06	compound treatment	2000.0	353.0	0.55	1840.5	358.0	0.64	1387.0	-13.703125	-0.0184556644541383	0.6764	0.8009	2060027	SpecPlus_000004	CC(=O)O[C@@H]1CC2C(C)(C)[C@@H](O)CC[C@]2(C)C3CC[C@@]4(C)[C@@H](OC(=O)[C@H]5O[C@]54[C@]13C)c6ccoc6
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	A07	compound treatment	1528.0	-119.0	-0.18	1423.0	-59.1	-0.11	1584.0	183.296875	0.246868186672173	-0.0255	-0.0782	2060028	SpecPlus_000005	COC(=O)C[C@H]1C2(C)CC3(OC4(C)O[C@@]56[C@H](OC(=O)C)[C@@]3(O)C2OC(=O)C(C)C)[C@]1(C)[C@@]6(O4)[C@H](OC(=O)C)C(OC(=O)C)[C@@]7(C)[C@@H](OC(=O)/C(=C(\O)/C(C)C)/C57)c8ccoc8
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	A08	compound treatment	1751.0	104.0	0.16	1266.0	-216.0	-0.39	1463.0	62.296875	0.0839027755742865	-0.0834	-0.1946	2060029	SpecPlus_000006	CC(=O)O[C@H]1CC[C@@]2(C)C(C[C@@H](OC(=O)C)[C@]3(C)C2CC[C@@]4(C)[C@@H](OC(=O)[C@H]5O[C@]543)c6ccoc6)C1(C)C
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	A09	compound treatment	1879.0	232.0	0.36	1522.0	39.9	0.07	1787.0	386.296875	0.520272967274413	0.5486	0.863	2060030	SpecPlus_000007	COC(=O)C[C@H]1C(C)(C)C(=O)[C@@H]2CC3C(CC[C@@]4(C)[C@@H](OC(=O)C=C34)c5ccoc5)[C@@]1(C)C2=O
1004.0027	GeneExprHTS(1004.0027)	AndrogenSignalingGE-HTS	1004.0027.1081	A10	compound treatment	1800.0	153.0	0.24	1651.0	169.0	0.3	1556.0	155.296875	0.209157182451175	0.4324	0.9875	3173352	SpecPlus_000008	CC(=O)O[C@@H]1CC2C(C)(C)C(=O)C=C[C@]2(C)C3CC[C@@]4(C)[C@@H](OC(=O)C=C4[C@]13C)c5ccoc5
