"State Name","State","Jurisdiction Name","Jurisdiction Type","Fiscal Year Ending","Program Name","Program Purpose","Statutory Authority","Abating Jurisdictions","Applicable Taxes","Abatement Method","Recapture Provisions","Gross Revenue Loss","Reimbursement","Net Revenue Loss","Type of Loss","Disclosure Notes","Document Source"
"Alabama","AL","Alabama","State","2018","Various Other Tax Abatement Programs","General Economic Development","Code of Alabama, section 40-9G; section 40-9B; section 40-9C; section 40-9D","State of Alabama","Property Tax; Gross Utility Taxes; Sales and Use Taxes","Tax Abatement","(not specified)","$99,607,000","$0","$99,607,000","Active","These include Reinvestment and Abatement Act, the Tax Incentive Reform Act, the Brownfield Development Tax Abatement, and the Economic Incentive Enhancement Act of 2007","https://comptroller.alabama.gov/acfr-2/"
"Alabama","AL","Alabama","State","2018","Certified Capital Company Program","Entrepreneurship/innovation","Code of Alabama, Section 40-14B","State of Alabama","Insurance Premium Taxes","Tax Credit","Failure to meet the requirements could result in decertification and result in recapture of credits claimed and forfeiture of future credits","$16,886,000","$0","$16,886,000","Active","(none)","https://comptroller.alabama.gov/acfr-2/"
"Alabama","AL","Alabama","State","2018","New Markets Program","Redevelopment/revitalization","Code of Alabama, Section 41-9-218","State of Alabama","Income Taxes; Insurance Premium Taxes; Financial Institution Excise Taxes","Tax Credit","(not specified)","$16,886,000","$0","$16,886,000","Active","(none)","https://comptroller.alabama.gov/acfr-2/"
"Alabama","AL","Alabama","State","2018","Historic Rehabilitation Program","Historic Preservation","Code of Alabama, Section 40-9F-4","State of Alabama","Income Taxes; Financial Institution Excise Taxes","Tax Abatement","(not specified)","$14,980,000","$0","$14,980,000","Active","(none)","https://comptroller.alabama.gov/acfr-2/"
"Alabama","AL","Alabama","State","2018","Film Incentive Program","Film, TV, and/or media","Code of Alabama, Section 41-7A-3","State of Alabama","Income Taxes; Sales, Use, and Lodging Taxes","Tax Rebate; Tax Exemption","(not specified)","$10,594,000","$0","$10,594,000","Active","(none)","https://comptroller.alabama.gov/acfr-2/"
"Alabama","AL","Alabama","State","2018","Growing Alabama Program","General Economic Development","Code of Alabama, Section 40-18-403","State of Alabama","Income Tax","Tax Credit","(not specified)","$6,619,000","$0","$6,619,000","Active","(none)","https://comptroller.alabama.gov/acfr-2/"
"Alabama","AL","Alabama","State","2018","Jobs Credit Program","Job Creation/Retention","Code of Alabama, Section 40-18-375","State of Alabama","Utility Taxes","Tax Credit","A company claiming more wages or jobs than paid or created is liable for the unearned portion of the jobs credit","$250,000","$0","$250,000","Active","(none)","https://comptroller.alabama.gov/acfr-2/"
"Alabama","AL","Alabama","State","2018","Apprenticeship Alabama Program","Workforce development","Code of Alabama, Section 40-18-422","State of Alabama","Income Taxes; Financial Instituion Excise Taxes","Tax Credit","(no provisions for recapture)","$27,000","$0","$27,000","Active","(none)","https://comptroller.alabama.gov/acfr-2/"
"Alabama","AL","Alabama","State","2018","Port Credit Program","Port operations","Code of Alabama, Section 40-18-403","State of Alabama","Income Tax","Tax Credit","(not specified)","$8,000","$0","$8,000","Active","(none)","https://comptroller.alabama.gov/acfr-2/"
"Alabama","AL","Baldwin County","County","2018","General Tax Abatements","Amusement","Code of Alabama 1975, Sections 40-9B-1 through 40-9B-13","City of Foley","Sales Tax; Personal Property Tax","Tax Abatement","(not specified)","$44,994","$0","$44,994","Passive","(none)","https://baldwincountyal.gov/departments/finance-accounting/finance-audit-reports"
"Alabama","AL","Baldwin County","County","2018","General Tax Abatements","Industrial Expansion","Code of Alabama 1975, Sections 40-9B-1 through 40-9B-13","City of Foley","Sales Tax; Property Tax; Personal Property Tax","Tax Abatement","(not specified)","$26,243","$0","$26,243","Passive","(none)","https://baldwincountyal.gov/departments/finance-accounting/finance-audit-reports"
"Alabama","AL","Baldwin County","County","2018","General Tax Abatements","Industrial Expansion","Code of Alabama 1975, Sections 40-9B-1 through 40-9B-13","City of Fairhope","Property Tax; Personal Property Tax","Tax Abatement","(not specified)","$7,057","$0","$7,057","Passive","(none)","https://baldwincountyal.gov/departments/finance-accounting/finance-audit-reports"
"Alabama","AL","Baldwin County","County","2018","General Tax Abatements","Industrial Expansion","Code of Alabama 1975, Sections 40-9B-1 through 40-9B-13","City of Bay Minette","Personal Property Tax","Tax Abatement","(not specified)","$2,683","$0","$2,683","Passive","(none)","https://baldwincountyal.gov/departments/finance-accounting/finance-audit-reports"
"Alabama","AL","Baldwin County","County","2018","General Tax Abatements","Industrial Expansion","Code of Alabama 1975, Sections 40-9B-1 through 40-9B-13","City of Loxley","Sales Tax; Personal Property Tax","Tax Abatement","(not specified)","$416","$0","$416","Passive","(none)","https://baldwincountyal.gov/departments/finance-accounting/finance-audit-reports"
"Alabama","AL","Baldwin County","County","2018","General Tax Abatements","Industrial Expansion","Code of Alabama 1975, Sections 40-9B-1 through 40-9B-13","City of Spanish Fort","Personal Property Tax","Tax Abatement","(not specified)","$31","$0","$31","Passive","(none)","https://baldwincountyal.gov/departments/finance-accounting/finance-audit-reports"
"Alabama","AL","City of Huntsville","Municipality","2018","Various tax abatement programs","General Economic Development","Section 40-9B1 et seq., Code of Alabama 1975","Huntsville","Sales and Use Tax","Tax Abatement","(not specified)","$11,200,000","$0","$11,200,000","Active","(none)","https://www.huntsvilleal.gov/government/finances-budget/current-adopted-budget-capital-improvements-plan/"
"Alabama","AL","City of Mobile","Municipality","2018","Various Abatement Programs","General Economic Development","Amendment 772 of the Constitution of Alabama.","Mobile, Alabama","Sales and Use Taxes","Tax rebate","(not specified)","$2,675,949","$0","$2,675,949","Active","(none)","https://www.cityofmobile.org/business/financials/"
"Alabama","AL","City of Mobile","Municipality","2018","Various Abatement Programs - IDB","General Economic Development","Amendment 772 of the Constitution of Alabama.","Industrial Development Board of the City of Mobile, AL","Property Tax","Tax Abatement","(not specified)","$934,373","$0","$934,373","Active","(none)","https://www.cityofmobile.org/business/financials/"
"Alabama","AL","City of Montgomery","Municipality","2018","Various Sales Tax Abatements","General Economic Development","Tax Reform Act of 1992 (Chapter 9B, Title 40, Code of Alabama 1975) and The Alabama Reinvestment & Abatements Act (Chapter 9G, Title 40, Code of Alabama 1975).","Industrial Development Board of Montgomery","Sales Tax","Exemptions on purchases","(not specified)","$6,500,000","$0","$6,500,000","Active","(none)","https://www.montgomeryal.gov/city-government/mayor-s-office/financial-reports"
"Alabama","AL","City of Montgomery","Municipality","2018","Varioius economic development programs","General Economic Development","Tax Reform Act of 1992 (Chapter 9B, Title 40, Code of Alabama 1975) and The Alabama Reinvestment & Abatements Act (Chapter 9G, Title 40, Code of Alabama 1975).","Montgomery, Alabama; Development Board of the City of Montgomery; City of Montgomery Downtown Redevelopment Authority","Property Tax","Reductions of assessed values","Some","$1,808,072","$0","$1,808,072","Active","Property taxes are abated through reductions of assessed values. Sales and use taxes are abated through exemptions granted on purchases for specified construction or equipment-purchase purposes. Some agreements provide for the repayment to the City of abated amounts if the entity ceases to operate its business for a certain length of time or fails to produce a certain level of employment.","https://www.montgomeryal.gov/city-government/mayor-s-office/financial-reports"
"Alabama","AL","City of Tuscaloosa","Municipality","2018","Various Lodging Tax Agreements","General Economic Development","Amendment No. 772 to the Constitution of Alabama (1901)","Tuscaloosa, Alabama","Lodging Tax","Tax Abatement","(not specified)","$652,505","$0","$652,505","Active","(none)","https://www.tuscaloosa.com/government/annualreports"
"Alabama","AL","City of Tuscaloosa","Municipality","2018","Various Sales Tax Agreement","General Economic Development","Amendment No. 772 to the Constitution of Alabama (1901)","Tuscaloosa, Alabama","Sales Tax","Tax Abatement","(not specified)","$477,391","$0","$477,391","Active","(none)","https://www.tuscaloosa.com/government/annualreports"
"Alabama","AL","City of Tuscaloosa","Municipality","2018","Various Property Tax Agreements","General Economic Development","Amendment No. 772 to the Constitution of Alabama (1901)","Tuscaloosa, Alabama","Property Tax","Tax Abatement","(not specified)","$261,825","$0","$261,825","Active","(none)","https://www.tuscaloosa.com/government/annualreports"
"Alabama","AL","Decatur City Board of Education","School District","2018","Sales Tax Abatement","Industrial development","(not specified)","City of Decatur, Alabama","Sales and Use Taxes","Tax Abatement","(not specified)","$812,348","$0","$812,348","Passive","Sunsetted; no more abatement in the future",""
"Alabama","AL","Jefferson County","County","2018","Various Property Tax Abatements Agreements","Business attraction/retention/expansion","Alabama Tax Incentive Reform Act of 1992, Section 40-9B-1 et seq., of the Code of Alabama (1975)","Birmingham Industrial Development Board","Property Tax","Tax Abatement","(not specified)","$854,000","$0","$854,000","Active","(none)","https://www.jccal.org/Default.asp?ID=1019&pg=Audits+%26+Financials&subcatid=23"
"Alabama","AL","Jefferson County","County","2018","Birmingham-Jefferson County Port Authority","General Economic Development","Chapter 94, Title 11 of the Code of Alabama (1975)","Jefferson County, Alabama","Property Tax","Tax Abatement","(not specified)","$3,859,000","$0","$3,859,000","Active","Abated by Birmingham-Jefferson County Port Authority","https://www.jccal.org/Default.asp?ID=1019&pg=Audits+%26+Financials&subcatid=23"
"Alabama","AL","Mobile County","County","2018","Various Property Tax Abatements","Business attraction/retention/expansion/Jobs","11-54-80 et seq., Code of Alabama (1975); Tax Incentive Reform Act of 1995, codified at 40-9b-1-13, et seq., Code of Alabama (1975); and Alabama Reinvestment and Abatement Act, 2015-24 Acts of Alabama","Industrial Development Board of the City of Mobile, Alabama","Property Tax","Tax Abatement","(not specified)","$10,518,074","$0","$10,518,074","Active","(none)","https://www.mobilecountyal.gov/departments/budget-and-finance/"
"Alabama","AL","Mobile County","County","2018","Various Sales Tax Abatements","Business attraction/retention/expansion/Jobs","11-54-80 et seq., Code of Alabama (1975); Tax Incentive Reform Act of 1995, codified at 40-9b-1-13, et seq., Code of Alabama (1975); and Alabama Reinvestment and Abatement Act, 2015-24 Acts of Alabama","Industrial Development Board of the City of Mobile, Alabama","Sales Tax","Tax Abatement","(not specified)","$655,181","$0","$655,181","Active","(none)","https://www.mobilecountyal.gov/departments/budget-and-finance/"
"Alabama","AL","Shelby County","County","2018","Industrial Development Board â€“ City of Alabaster","General Economic Development","Code of Alabama 1975, Sections 40-9B-1 through 40-9B-13","Shelby County, Alabama","Sales Tax; Real Property Tax; Business Personal Property Tax","Tax Abatement","(not specified)","$62,280","$0","$62,280","Active","(none)","https://www.shelbyal.com/DocumentCenter/Index/108"
"Alabama","AL","Shelby County","County","2018","Industrial Development Board â€“ City of Calera","General Economic Development","Code of Alabama 1975, Sections 40-9B-1 through 40-9B-13","Shelby County, Alabama","Real Property Tax; Business Personal Property Tax","Tax Abatement","(not specified)","$15,045","$0","$15,045","Active","(none)","https://www.shelbyal.com/DocumentCenter/Index/108"
"Alabama","AL","Shelby County","County","2018","Industrial Development Board â€“ City of Hoover","General Economic Development","Code of Alabama 1975, Sections 40-9B-1 through 40-9B-13","Shelby County, Alabama","Sales Tax","Tax Abatement","(not specified)","$3,609","$0","$3,609","Active","(none)","https://www.shelbyal.com/DocumentCenter/Index/108"
"Alabama","AL","Shelby County","County","2018","Industrial Development Board â€“ City of Vinvcent","General Economic Development","Code of Alabama 1975, Sections 40-9B-1 through 40-9B-13","Shelby County, Alabama","Sales Tax","Tax Abatement","(not specified)","$52,226","$0","$52,226","Active","(none)","https://www.shelbyal.com/DocumentCenter/Index/108"
"Alabama","AL","Shelby County","County","2018","City of Pelham","General Economic Development","Code of Alabama 1975, Sections 40-9B-1 through 40-9B-13","Shelby County, Alabama","Real Property Tax","Tax Abatement","(not specified)","$4,500","$0","$4,500","Active","(none)","https://www.shelbyal.com/DocumentCenter/Index/108"
"Alabama","AL","Shelby County","County","2018","City of Calera","General Economic Development","Code of Alabama 1975, Sections 40-9B-1 through 40-9B-13","Shelby County, Alabama","Business Personal Property","Tax Abatement","(not specified)","$4,390","$0","$4,390","Active","(none)","https://www.shelbyal.com/DocumentCenter/Index/108"
"Alabama","AL","Shelby County","County","2018","Various Sales Tax Abatements","General Economic Development","Code of Alabama 1975, Sections 40-9B-1 through 40-9B-13","Shelby County, Alabama","Sales Tax","Tax Abatement","(not specified)","$43,139","$0","$43,139","Active","(none)",""
"Alabama","AL","Shelby County","County","2018","Shelby County Economic Industrial Development Authority","Data Not Yet Retrieved","Code of Alabama 1975, Sections 40-9B-1 through 40-9B-13","Shelby County, Alabama","Real Property Tax; Business Personal Property Tax","Tax Abatement","(not specified)","$3,753","$0","$3,753","Active","(none)","https://www.shelbyal.com/DocumentCenter/Index/108"
"Alabama","AL","Tuscaloosa County","County","2018","Hunt Refining Company","Refinery Expansion","Alabama Tax Incentive Reform Act of 1992","Tuscaloosa County Industrial Development Authority","Property Tax","Tax Abatement","(not specified)","$667,700","$0","$667,700","Active","(none)","https://examiners.alabama.gov/audit_reports.aspx"
"Alaska","AK","Ketchikan Gateway Borough","County","2018","Agreement with Alaska Industrial Development and Export Authority (AIDEA)","Port operations","(not specified)","City and Borough of Ketchikan","Real Property Tax","(not specified)","(not specified)","$288,583","$0","$288,583","Active","Operated by Vigor Industrial, LLC","https://www.borough.ketchikan.ak.us/340/Financial-Information"
"Alaska","AK","Ketchikan Gateway Borough","County","2018","Agreements with Ketchikan Indian Community and Tlingit Haida Regional Housing Authority","Affordable Housing","(not specified)","City and Borough of Ketchikan","(not specified)","(not specified)","(not specified)","$45,114","$0","$45,114","Active","(none)","https://www.borough.ketchikan.ak.us/340/Financial-Information"
"Arizona","AZ","Arizona","State","2018","Rio Nuevo Tax Increment Financing (TIF) District","General Economic Development","General Economic Development (TIF)","State of Arizona","Sales Tax","Tax Increment Financing (TIF)","(not specified)","$471,000","$0","$471,000","Active","Recipients include AC Marriott Hotel, Arizona Hotel, Chicago Store, 123 South Stone, 98-112 E. Congress, and 44 E. Broadway","https://gao.az.gov/financials/acfr"
"Arizona","AZ","City of Chandler","Municipality","2018","Government Property Lease Excise Tax (GPLET) program","General Economic Development","Arizona Revised Statute 42-6201 through 42-6210","Chandler, Arizona","Property Tax","Tax Abatement","(not specified)","$132,297","$0","$132,297","Active","(none)","https://www.chandleraz.gov/government/departments/management-services/accounting"
"Arizona","AZ","City of Chandler","Municipality","2018","Various economic development programs (TIF)","General Economic Development","Arizona Revised Statute 42-6201 through 42-6210","Chandler, Arizona","Property Tax","Tax Increment Financing (TIF)","(not specified)","$2,103,215","$0","$2,103,215","Active","(none)","https://www.chandleraz.gov/government/departments/management-services/accounting"
